Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-Mar-21,56,56.5,55.45,55.7,55.98280456,733043,3798,41037803,353844,48.27,1.05,-0.3
02-Mar-21,56.1,61.25,56.05,61.25,60.06582154,2996648,7239,179996124,1259083,42.02,5.2,5.15
03-Mar-21,63.85,66.6,63.5,64.95,65.18666259,3123829,15138,203631987,1376022,44.05,3.1,1.1
04-Mar-21,64.85,71.4,62.4,71.4,69.54687913,4564089,16145,317418146,3032186,66.44,9,6.55
05-Mar-21,73.1,74.95,68.2,74.45,72.98461561,8566348,28584,625211616,3300589,38.53,6.75,1.35
08-Mar-21,76.45,78.15,76,78.15,77.93123922,1719803,8397,134026379,1452352,84.45,2.15,1.7
09-Mar-21,82.05,82.05,76,81.95,80.71688131,9043631,40975,729973690,3573300,39.51,6.05,-0.1
10-Mar-21,84,84.3,77.9,77.9,80.54207218,4148715,29503,334146103,2165469,52.2,6.4,-6.1
12-Mar-21,75,79.3,74.05,75.5,75.94596301,5526751,32450,419734427,2479657,44.87,5.25,0.5
15-Mar-21,77.6,79.25,74.1,79.25,77.65037118,2324099,8974,180467150,748117,32.19,5.15,1.65
16-Mar-21,81.4,83.2,80,83.05,81.98490138,2756344,11412,225978591,965165,35.02,3.2,1.65
17-Mar-21,85,87.2,84,87.15,86.66101973,4103404,11169,355605175,1491758,36.35,3.2,2.15
18-Mar-21,90,91.5,85.55,89.15,89.63042617,3861445,18514,346102961,1226313,31.76,5.95,-0.85
19-Mar-21,88.15,93.05,84.7,92.25,87.59928027,3462410,13112,303304624,1302757,37.63,8.35,4.1
22-Mar-21,93,96.85,93,96.85,96.06840002,4614165,18520,443275449,2874255,62.29,3.85,3.85
23-Mar-21,101.65,101.65,100.1,101.65,101.571243,2208253,7278,224295002,1777519,80.49,1.55,0
24-Mar-21,105.8,106.7,99.5,104.35,105.1372246,4353483,22209,457713120,2408233,55.32,7.2,-1.45
25-Mar-21,105.55,109,99.15,99.15,101.4515127,3120714,25453,316601156,1600519,51.29,9.85,-6.4
26-Mar-21,99.4,103,94.2,94.2,95.65990838,1685881,13917,161271222,953131,56.54,8.8,-5.2
30-Mar-21,95,96,89.5,89.5,90.46452263,1443103,8514,130549624,815688,56.52,6.5,-5.5
31-Mar-21,86.25,88,85.05,85.05,85.97704321,911103,5227,78333942,469952,51.58,2.95,-1.2
01-Apr-21,83.05,89.3,81.35,89.3,86.32540974,2444303,13222,211005458,812521,33.24,7.95,6.25
05-Apr-21,92.3,93.75,89.3,93.75,92.90376141,1987020,9718,184601632,953078,47.97,4.45,1.45
06-Apr-21,98.4,98.4,97.5,98.4,98.39360708,763063,3573,75080521,727186,95.3,0.9,0
07-Apr-21,103.3,103.3,95.5,99.95,100.6696441,8672849,55772,873092622,3232359,37.27,7.8,-3.35
08-Apr-21,100.55,101.95,97,97.4,98.89558267,3178505,24482,314340104,1832689,57.66,4.95,-3.15
09-Apr-21,97,99.7,94,97.75,98.28856473,2592479,16501,254811040,1491188,57.52,5.7,0.75
12-Apr-21,93,94.3,92.9,92.9,93.10317179,2332217,14056,217136800,1440513,61.77,1.4,-0.1
