Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-Jan-18,840,845.95,829.95,833.6,839.1711828,17087,421,14338918,9854,57.67,16,-6.4
02-Jan-18,825,837.65,818,829.5,827.255989,25380,831,20995757,6642,26.17,19.65,4.5
03-Jan-18,827,855,827,846.1,848.1782119,48173,1417,40859289,11263,23.38,28,19.1
04-Jan-18,854,854,837.65,839.85,842.2873968,22415,1547,18879872,9395,41.91,16.35,-14.15
05-Jan-18,835,864.95,835,862.3,856.8682076,40063,1491,34328711,9582,23.92,29.95,27.3
08-Jan-18,864,872.3,860.75,865.55,866.240549,36795,1144,31873321,6168,16.76,11.55,1.55
09-Jan-18,865.55,870,853.8,858.3,858.9541472,20086,950,17252953,4904,24.42,16.2,-7.25
10-Jan-18,859.05,878,850,853.75,856.9468768,20876,804,17889623,3895,18.66,28,-5.3
11-Jan-18,851.95,869.4,851.3,860.7,862.1550697,36777,1559,31707477,8732,23.74,18.1,8.75
12-Jan-18,862.95,871.6,851.3,857.8,861.5440964,14525,1081,12513928,3596,24.76,20.3,-5.15
15-Jan-18,867,867,851.6,863.3,860.0643765,22182,858,19077948,6814,30.72,15.4,-3.7
16-Jan-18,865.05,873.45,845.6,854.85,858.6859549,45831,1594,39354436,14760,32.21,27.85,-10.2
17-Jan-18,846,860.05,837.65,850,849.0615244,29598,812,25130523,11185,37.79,22.4,4
18-Jan-18,860,861,825.65,832.4,842.0304358,29439,872,24788534,13877,47.14,35.35,-27.6
19-Jan-18,833,833.2,821,824.5,827.6084492,16404,516,13576089,5717,34.85,12.2,-8.5
22-Jan-18,838.95,838.95,813.5,825.15,825.293779,15110,542,12470189,5332,35.29,25.45,-13.8
23-Jan-18,817,832.8,817,820.75,823.6068784,16341,596,13458560,5176,31.67,15.8,3.75
24-Jan-18,818,881.25,815.05,875.95,861.9976604,87623,2555,75530821,21997,25.1,66.2,57.95
