Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-Mar-21,2696.7,2708.2,2602.65,2622.1,2643.459587,22864,2291,60440060,5138,22.47,105.55,-74.6
02-Mar-21,2657.8,2657.8,2570.85,2585.95,2592.387221,21316,2712,55259326,6368,29.87,86.95,-71.85
03-Mar-21,2596.6,2618.1,2545.05,2564,2568.99564,30048,2724,77193181,14562,48.46,73.05,-32.6
04-Mar-21,2550,2745.2,2544.8,2677.55,2689.925983,144710,12978,389259189,36492,25.22,200.4,127.55
05-Mar-21,2687,2769.7,2685.65,2716.35,2727.82194,73930,6943,201667876,22143,29.95,84.05,29.35
08-Mar-21,2754,2761.2,2689.85,2708.15,2722.999023,16369,1434,44572771,3365,20.56,71.35,-45.85
09-Mar-21,2748.85,2748.85,2601,2651.95,2639.523472,22985,2537,60669447,6379,27.75,147.85,-96.9
10-Mar-21,2680,2734.9,2666,2695.25,2704.677234,30567,2289,82673869,5369,17.56,68.9,15.25
12-Mar-21,2725,2767,2684.6,2723.1,2734.715063,22777,2040,62288605,3835,16.84,82.4,-1.9
15-Mar-21,2748.95,2765.4,2692.35,2716.35,2728.382636,30708,1884,83783174,4827,15.72,73.05,-32.6
16-Mar-21,2747.9,2822.25,2717,2764.25,2770.735688,32299,2529,89491992,5523,17.1,105.25,16.35
17-Mar-21,2797.7,2836,2704.2,2756.55,2803.877586,37798,3537,105980965,7913,20.93,131.8,-41.15
18-Mar-21,2807.05,2807.05,2648,2676.45,2702.777709,21067,2177,56939418,3403,16.15,159.05,-130.6
19-Mar-21,2653,2790.6,2600,2766.1,2691.839798,56797,6066,152888425,20561,36.2,190.6,113.1
22-Mar-21,2778,2778,2701.55,2722.1,2730.64521,29051,3345,79327974,10129,34.87,76.45,-55.9
23-Mar-21,2747.9,2762,2721,2732,2735.457416,14665,1089,40115483,3077,20.98,41,-15.9
24-Mar-21,2742.7,2742.7,2651,2670.15,2698.074367,10354,1032,27935862,3257,31.46,91.7,-72.55
25-Mar-21,2660.2,2684.05,2581.2,2604.15,2611.06333,32749,4308,85509713,13594,41.51,102.85,-56.05
26-Mar-21,2614.3,2697,2614.3,2649.35,2653.463805,28913,2571,76719599,8588,29.7,82.7,35.05
30-Mar-21,2678.8,2714.9,2620.7,2687.65,2666.555148,15794,1657,42115572,3194,20.22,94.2,8.85
31-Mar-21,2690.65,2754.35,2668.05,2693.4,2698.066823,21744,1947,58666765,4738,21.79,86.3,2.75
01-Apr-21,2700,2795,2700,2770.6,2768.725689,45977,4484,127297701,19682,42.81,95,70.6
05-Apr-21,2775.1,2870,2758.75,2855.15,2813.109096,43219,3421,121579762,11322,26.2,111.25,80.05
06-Apr-21,2870,2904.7,2848.7,2875.2,2879.23053,25706,2126,74013500,9229,35.9,56,5.2
07-Apr-21,2888.95,2970.9,2843.35,2946.65,2906.182725,30160,2835,87650471,7583,25.14,127.55,57.7
08-Apr-21,2946.65,2999,2906.45,2963.75,2966.221793,42968,5461,127452618,18777,43.7,92.55,17.1
09-Apr-21,2963.9,3121.65,2942.75,3099,3055.410283,44306,3511,135373008,13117,29.61,178.9,135.1
