Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-Jul-20,50.15,50.4,48.7,48.9,49.22899449,835483,1418,41129988,171293,20.5,1.7,-1.25
27-Jul-20,48.9,50.35,47.75,49.5,49.33864778,1046769,1869,51646167,139195,13.3,2.6,0.6
28-Jul-20,49.75,50.45,48.6,49.2,49.69385924,641842,1235,31895606,175141,27.29,1.85,-0.55
29-Jul-20,49.25,50.35,49.25,49.75,49.86801271,1080551,2993,53884931,378977,35.07,1.1,0.5
30-Jul-20,50,50.2,47.6,48.05,48.80365678,782273,1558,38177783,276110,35.3,2.6,-1.95
31-Jul-20,48,48.95,47.5,48.7,48.18052673,900609,2943,43391816,228182,25.34,1.45,0.7
03-Aug-20,48.7,49.45,48.4,48.75,48.90691137,512286,1009,25054326,89301,17.43,1.05,0.05
04-Aug-20,49.4,50.4,49.05,49.65,49.88797045,880964,1664,43949506,155457,17.65,1.35,0.25
05-Aug-20,49.7,49.9,48.65,48.9,49.1897283,565651,1169,27824219,130749,23.11,1.25,-0.8
06-Aug-20,48.9,50.1,48.5,49.4,49.09194061,950940,1580,46683490,123361,12.97,1.6,0.5
07-Aug-20,49.8,50.6,49.2,49.65,49.90318763,729979,1824,36428279,174322,23.88,1.4,-0.15
10-Aug-20,50.45,51.9,49.85,51.45,51.12624365,1623448,2845,83000798,450220,27.73,2.05,1
11-Aug-20,52,52.55,51.1,51.95,51.80403602,1126457,2114,58355019,265407,23.56,1.45,-0.05
12-Aug-20,52,53.6,51.2,52.95,52.56521869,2416815,5750,127040409,726199,30.05,2.4,0.95
13-Aug-20,55,57.85,52.65,56.1,55.76504431,5048986,10914,281556928,918131,18.18,5.2,1.1
14-Aug-20,56.75,57.15,54.55,54.95,55.8758494,1935633,3960,108155138,407153,21.03,2.6,-1.8
17-Aug-20,55.15,56.3,54.95,56,55.70785145,1379401,4183,76843466,465192,33.72,1.35,0.85
18-Aug-20,56.25,56.45,54.95,55.6,55.66718944,2036564,2213,113369794,587544,28.85,1.5,-0.65
19-Aug-20,56.1,58.2,56,56.75,57.35573738,5186787,4787,297491993,1338583,25.81,2.2,0.65
20-Aug-20,56.1,62.3,56.1,61.5,60.72389199,6778380,17932,411609615,1721605,25.4,6.2,5.4
21-Aug-20,62.85,63.45,61.65,61.9,62.34464192,3957789,10448,246746938,930905,23.52,1.8,-0.95
24-Aug-20,62.5,62.7,60.15,60.9,61.54952139,2637113,4493,162313043,538325,20.41,2.55,-1.6
25-Aug-20,61.8,61.8,59.05,59.95,60.41544353,4528459,4875,273588859,1089798,24.07,2.75,-1.85
26-Aug-20,60.5,63.25,60,62.7,61.22130154,6036316,7763,369551122,1313809,21.76,3.25,2.2
27-Aug-20,63,63.3,61.4,61.6,62.11015638,2297906,6785,142723301,945299,41.14,1.9,-1.4
28-Aug-20,62.45,62.45,60.3,61.15,61.09385221,1014446,2508,61976414,270914,26.71,2.15,-1.3
31-Aug-20,61.65,61.75,57.9,58.7,59.32940341,1595536,3831,94662199,385955,24.19,3.85,-2.95
01-Sep-20,60,60.45,58.3,59.5,59.13886169,2995837,3906,177170390,1139049,38.02,2.15,-0.5
02-Sep-20,59.95,61.25,58.9,61,60.04248981,1107842,1932,66517592,170587,15.4,2.35,1.05
03-Sep-20,61.1,61.6,59.9,60.7,60.64563069,1259192,4028,76364493,280743,22.3,1.7,-0.4
04-Sep-20,59.9,60.3,58.25,58.8,59.29734496,928911,1987,55081956,151477,16.31,2.05,-1.1
07-Sep-20,59.9,59.9,56.15,57.35,57.27656222,1355073,2737,77613923,211640,15.62,3.75,-2.55
08-Sep-20,57.5,58,54.75,55.1,56.35671415,944706,2180,53240526,175114,18.54,3.25,-2.4
09-Sep-20,55,56.3,52.5,55.65,54.02729213,1707159,2857,92233178,209179,12.25,3.8,0.65
10-Sep-20,55.85,57.15,54.75,55.45,55.9273835,1054719,2292,58987674,153714,14.57,2.4,-0.4
11-Sep-20,56,57.05,54.8,56.7,55.95884165,1077813,1742,60313167,165888,15.39,2.25,0.7
14-Sep-20,57,58.4,56.55,57.1,57.41342205,1684378,4084,96705905,336082,19.95,1.85,0.1
15-Sep-20,57.2,58.7,57.15,57.75,57.80790814,749886,1631,43349341,86276,11.51,1.55,0.55
16-Sep-20,58.2,58.4,56.55,56.85,57.2464468,1211515,1989,69354929,272803,22.52,1.85,-1.35
17-Sep-20,57.5,58.15,56.4,56.7,57.05005245,1888559,4669,107742390,549141,29.08,1.75,-0.8
18-Sep-20,57,57.3,55.85,56.15,56.58041391,576797,1402,32635413,151732,26.31,1.45,-0.85
21-Sep-20,56,56.5,52.5,52.95,54.27778404,914383,2745,49630683,216677,23.7,4,-3.05
22-Sep-20,53,53.5,50.45,51.55,51.81148209,1935084,3155,100259570,273141,14.12,3.05,-1.45
23-Sep-20,52,55.35,51.3,53.55,52.34346053,2998691,4680,156961864,535189,17.85,4.05,1.55
24-Sep-20,52.8,52.95,50,50.35,51.32217381,1851991,5700,95048204,428471,23.14,2.95,-2.45
25-Sep-20,50.65,53.35,50.65,53.1,52.10910539,1641083,1918,85515367,193798,11.81,2.7,2.45
28-Sep-20,53.5,54.6,53.3,54.15,54.03403626,1036189,1690,55989474,240635,23.22,1.3,0.65
29-Sep-20,54.15,54.7,53.2,54,54.05052224,1224352,1874,66176865,155726,12.72,1.5,-0.15
30-Sep-20,54,54,53,53.15,53.44138731,661512,2368,35352119,214199,32.38,1,-0.85
01-Oct-20,53.5,54.65,53.5,54.45,54.13768672,691156,1154,37417587,74106,10.72,1.15,0.95
05-Oct-20,54.45,55.15,53.6,53.85,54.33802109,893178,2772,48533525,178795,20.02,1.55,-0.6
06-Oct-20,54.4,54.7,53.85,54.55,54.39216014,1195481,2703,65024794,589732,49.33,0.85,0.15
07-Oct-20,54.95,56.9,54.45,56.15,56.0410936,895979,2276,50211643,156297,17.44,2.45,1.2
08-Oct-20,56.1,56.4,53.8,54.95,54.96938815,929248,3322,51080194,265187,28.54,2.6,-1.15
09-Oct-20,55.25,55.45,54.25,54.45,54.73178674,357171,844,19548607,74680,20.91,1.2,-0.8
12-Oct-20,54.45,55.05,52.65,52.85,53.61070986,849852,3156,45561169,195210,22.97,2.4,-1.6
13-Oct-20,52.9,55.05,52.6,54.05,53.9499867,601500,1313,32450917,90439,15.04,2.45,1.15
14-Oct-20,54.4,54.4,52.25,52.9,52.9231258,360407,1522,19073865,81789,22.69,2.15,-1.5
15-Oct-20,53.6,54.75,52.7,52.95,53.94737174,1172716,1970,63264946,600703,51.22,2.05,-0.65
16-Oct-20,53.3,54.6,52.35,54.15,53.88995621,1872709,3763,100920206,577300,30.83,2.25,0.85
19-Oct-20,54.9,55.55,53.9,55.15,54.73697284,1176312,2970,64387758,242356,20.6,1.65,0.25
20-Oct-20,54.95,56.1,54.55,54.7,55.23427416,737401,1268,40729809,113972,15.46,1.55,-0.25
21-Oct-20,55.1,55.3,53.25,54,54.31071577,387737,1034,21058274,82242,21.21,2.05,-1.1
22-Oct-20,53.1,55.5,53.1,55.05,54.13041271,1065663,2366,57684778,297409,27.91,2.4,1.95
23-Oct-20,55.75,55.75,54.7,55.25,55.29723437,531742,1249,29403862,102480,19.27,1.05,-0.5
26-Oct-20,55.25,55.65,53,53.85,54.51065143,1693529,3571,92315369,1062298,62.73,2.65,-1.4
27-Oct-20,54.45,54.45,53.05,53.7,53.53590324,835802,1234,44745415,363051,43.44,1.4,-0.75
28-Oct-20,54.4,54.4,52.95,53.1,53.36046627,1079549,1578,57605238,503261,46.62,1.45,-1.3
29-Oct-20,52,53.1,51.65,52.15,52.37088311,1073384,3212,56214068,223043,20.78,1.45,0.15
30-Oct-20,52.55,52.9,51.65,52.15,52.30034917,654688,2621,34240411,174593,26.67,1.25,-0.4
02-Nov-20,52.9,52.9,52.05,52.65,52.3894007,327814,637,17173979,36678,11.19,0.85,-0.25
03-Nov-20,52.95,53.85,52.7,53.6,53.40479217,743547,1942,39708973,326680,43.94,1.15,0.65
04-Nov-20,53.65,53.95,52.35,53.25,53.38016752,994843,1208,53104886,206664,20.77,1.6,-0.4
05-Nov-20,53.5,55.8,53.5,55.35,54.32819847,1715398,2643,93194483,253277,14.76,2.3,1.85
06-Nov-20,55.1,56.75,54.5,54.65,55.36225335,3048880,5100,168792867,2081415,68.27,2.25,-0.45
09-Nov-20,55.5,55.55,54,54.95,54.88079342,1035916,1644,56851892,388319,37.49,1.55,-0.55
10-Nov-20,55.5,57,55.2,56.65,56.25611514,4117812,6535,231652106,2787400,67.69,1.8,1.15
11-Nov-20,57.65,58.5,56.7,57.3,57.51118372,3384875,4857,194668168,1681674,49.68,1.8,-0.35
12-Nov-20,57.25,57.5,55.3,55.5,56.0931873,2082301,4011,116802900,1206337,57.93,2.2,-1.75
13-Nov-20,55.25,55.75,54.6,55.25,55.10321064,1564984,1755,86235643,776230,49.6,1.15,0
14-Nov-20,55.8,56.25,55.65,56,55.91132799,131868,698,7372915,72472,54.96,0.6,0.2
17-Nov-20,56,58.15,55.95,57.65,57.1196098,2145376,5520,122543040,796513,37.13,2.2,1.65
18-Nov-20,57.9,61.2,57.8,60.65,59.82548392,3896896,10345,233133689,1867154,47.91,3.4,2.75
19-Nov-20,60.55,61.45,58.8,59.2,60.06564532,2028172,6264,121823460,628756,31,2.65,-1.35
20-Nov-20,59.3,59.85,56.7,58.1,58.42712619,1831138,5021,106988131,447058,24.41,3.15,-1.2
23-Nov-20,58.55,59.7,57.85,58.85,58.69266037,1671148,4017,98084122,461442,27.61,1.85,0.3
